source,target,edge_type
3424882,383961438,member_of
3424882,383961449,member_of
3424882,383961453,member_of
3424882,383961451,member_of
3424882,383961444,member_of
3424882,287805904,member_of
3424882,255739682,member_of
3424886,255739694,member_of
3424886,255739651,member_of
3424886,334507788,member_of
3424886,334507580,member_of
3424886,334507789,member_of
3424887,255739557,member_of
3424888,255739551,member_of
3424888,255739654,member_of
3424888,255739650,member_of
3424889,255739559,member_of
3424889,287801435,member_of
3424889,287801434,member_of
3424889,69579072,member_of
3424889,69578452,member_of
3424889,287801436,member_of
3424889,255739695,member_of
3424889,287806551,member_of
3424889,287806552,member_of
3424889,287800868,member_of
3424889,287800872,member_of
3424889,287800871,member_of
3424889,262803222,member_of
3424889,186363572,member_of
3424889,186363562,member_of
3424889,186363550,member_of
3424889,186363567,member_of
3424889,186363523,member_of
3424889,186363512,member_of
3424889,287798887,member_of
3424889,186363528,member_of
3424889,186363492,member_of
3424889,186363507,member_of
3424889,186363555,member_of
3424889,186363502,member_of
3424889,186363518,member_of
3424889,186363497,member_of
3424889,30143261,member_of
3424889,262803221,member_of
3424890,255739526,member_of
3424890,255739523,member_of
3424890,317872690,member_of
3424890,317872679,member_of
3424890,317872682,member_of
3424890,317872687,member_of
3424890,317870350,member_of
3424890,317870348,member_of
3425633,275278105,member_of
3425633,69563691,member_of
3425633,69563645,member_of
3425633,275278115,member_of
3425633,275278111,member_of
3425633,255797495,member_of
3425633,255797504,member_of
3425633,275278116,member_of
3425633,275278100,member_of
3425633,275278102,member_of
3425633,255797464,member_of
3425633,275278113,member_of
3425634,261110491,member_of
3425634,261110490,member_of
3425634,44659895,member_of
3425634,44659905,member_of
3425634,44659906,member_of
3425634,44659891,member_of
3425634,44659907,member_of
3425634,261110492,member_of
3425634,261110493,member_of
3425634,44659903,member_of
3425635,255797685,member_of
3425635,255797508,member_of
3425635,255797696,member_of
3425635,255797551,member_of
3425635,255797552,member_of
3425635,255797466,member_of
3425635,255797467,member_of
3425635,255797534,member_of
3425635,255797652,member_of
3425635,255797584,member_of
3425635,255797549,member_of
3425635,255797578,member_of
3425635,255797582,member_of
3425635,255797580,member_of
3425635,255797505,member_of
3425636,255797699,member_of
3425636,255797546,member_of
3425636,255797697,member_of
3425636,387146927,member_of
3425636,387146929,member_of
3425636,387146935,member_of
3425636,387146936,member_of
3425636,255797468,member_of
3425636,255797469,member_of
3425637,287331335,member_of
3425637,287331334,member_of
3425637,12568858,member_of
3425637,287315846,member_of
3425637,255797585,member_of
3425637,255797547,member_of
3425638,255797484,member_of
3425638,255797487,member_of
3425638,255797509,member_of
3425638,255797548,member_of
3425638,255797550,member_of
3425638,255797683,member_of
3425638,255797568,member_of
3425638,255797623,member_of
3425868,287307457,member_of
3425868,38377105,member_of
3425868,121718747,member_of
3425868,10854559,member_of
3425868,162782271,member_of
3425868,261110485,member_of
3425868,50551036,member_of
3425868,261110497,member_of
3425868,255810166,member_of
3425868,350671778,member_of
3425868,261110489,member_of
3425868,44659907,member_of
3425868,44659891,member_of
3425868,261110488,member_of
3425868,261110494,member_of
3425868,255810199,member_of
3425868,255810373,member_of
3425868,247785018,member_of
3425868,247785017,member_of
3425868,247726776,member_of
3425868,247726761,member_of
3425868,247726758,member_of
3425868,247726770,member_of
3425868,247726757,member_of
3425868,247726762,member_of
3425868,247784414,member_of
3425868,247784413,member_of
3425868,247785016,member_of
